account_a,account_b,shared_type,connection_count,ring_id,both_fraud
ACC0017803,ACC0040032,phone,7,RING0001,1
ACC0017803,ACC0042246,email_domain,12,RING0001,1
ACC0017803,ACC0029491,phone,13,RING0001,1
ACC0017803,ACC0022213,phone,12,RING0001,1
ACC0017803,ACC0007601,ip_address,14,RING0001,1
ACC0040032,ACC0042246,phone,9,RING0001,1
ACC0040032,ACC0029491,phone,9,RING0001,1
ACC0040032,ACC0022213,email_domain,3,RING0001,1
ACC0040032,ACC0007601,ip_address,8,RING0001,1
ACC0042246,ACC0029491,email_domain,10,RING0001,1
ACC0042246,ACC0022213,ip_address,4,RING0001,1
ACC0042246,ACC0007601,email_domain,9,RING0001,1
ACC0029491,ACC0022213,phone,7,RING0001,1
ACC0029491,ACC0007601,phone,5,RING0001,1
ACC0022213,ACC0007601,email_domain,12,RING0001,1
ACC0021474,ACC0004443,ip_address,5,RING0002,1
ACC0021474,ACC0029747,email_domain,9,RING0002,1
ACC0021474,ACC0024546,email_domain,11,RING0002,1
ACC0021474,ACC0040715,email_domain,12,RING0002,1
ACC0004443,ACC0029747,phone,13,RING0002,1
ACC0004443,ACC0024546,email_domain,11,RING0002,1
ACC0004443,ACC0040715,device_id,2,RING0002,1
ACC0029747,ACC0024546,ip_address,3,RING0002,1
ACC0029747,ACC0040715,phone,9,RING0002,1
ACC0024546,ACC0040715,ip_address,12,RING0002,1
ACC0037717,ACC0008112,device_id,7,RING0003,1
ACC0037717,ACC0041614,email_domain,13,RING0003,1
ACC0037717,ACC0034795,phone,4,RING0003,1
ACC0008112,ACC0041614,email_domain,7,RING0003,1
ACC0008112,ACC0034795,device_id,12,RING0003,1
ACC0041614,ACC0034795,phone,6,RING0003,1
ACC0005277,ACC0007843,email_domain,12,RING0004,1
ACC0005277,ACC0010247,ip_address,11,RING0004,1
ACC0005277,ACC0040790,ip_address,12,RING0004,1
ACC0005277,ACC0040722,email_domain,2,RING0004,1
ACC0005277,ACC0035305,email_domain,2,RING0004,1
ACC0005277,ACC0006296,phone,7,RING0004,1
ACC0005277,ACC0031968,device_id,3,RING0004,1
ACC0005277,ACC0002909,email_domain,13,RING0004,1
ACC0005277,ACC0016649,ip_address,5,RING0004,1
ACC0007843,ACC0010247,email_domain,12,RING0004,1
ACC0007843,ACC0040790,ip_address,13,RING0004,1
ACC0007843,ACC0040722,phone,9,RING0004,1
ACC0007843,ACC0035305,phone,7,RING0004,1
ACC0007843,ACC0006296,device_id,9,RING0004,1
ACC0007843,ACC0031968,phone,4,RING0004,1
ACC0007843,ACC0002909,device_id,14,RING0004,1
ACC0007843,ACC0016649,phone,13,RING0004,1
ACC0010247,ACC0040790,ip_address,8,RING0004,1
ACC0010247,ACC0040722,email_domain,6,RING0004,1
ACC0010247,ACC0035305,ip_address,5,RING0004,1
ACC0010247,ACC0006296,email_domain,8,RING0004,1
ACC0010247,ACC0031968,email_domain,9,RING0004,1
ACC0010247,ACC0002909,phone,3,RING0004,1
ACC0010247,ACC0016649,device_id,8,RING0004,1
ACC0040790,ACC0040722,email_domain,7,RING0004,1
ACC0040790,ACC0035305,ip_address,8,RING0004,1
ACC0040790,ACC0006296,device_id,14,RING0004,1
ACC0040790,ACC0031968,ip_address,11,RING0004,1
ACC0040790,ACC0002909,phone,6,RING0004,1
ACC0040790,ACC0016649,device_id,6,RING0004,1
ACC0040722,ACC0035305,ip_address,12,RING0004,1
ACC0040722,ACC0006296,device_id,4,RING0004,1
ACC0040722,ACC0031968,ip_address,2,RING0004,1
ACC0040722,ACC0002909,device_id,9,RING0004,1
ACC0040722,ACC0016649,phone,4,RING0004,1
ACC0035305,ACC0006296,email_domain,2,RING0004,1
ACC0035305,ACC0031968,device_id,11,RING0004,1
ACC0035305,ACC0002909,email_domain,6,RING0004,1
ACC0035305,ACC0016649,email_domain,7,RING0004,1
